"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184","154","187","162","62","75","109","119","140","200","151","","206","192","135","226","116","136","121","137","125","121","113","125","107","101","112","63","",
"American Samoa","ASM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","",
"Australia","AUS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","6582","6341","6603","6930","7170","","","","","","","","","","","1784","1797","1760","1862","1858","1928","2187","2364","2418","2559","2555","2837","2718","2821","2494","2409","2383","2627","3061","1988","2291","2620","2503","2757","2637","2368","",
"Austria","AUT","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","2327","2390","2233","2345","2324","2269","2210","2249","2212","2105","2025","2076","2117","2190","1989","1728","1909","1910","1957","2028","1961","1815","1932","2120","2248","2270","2271","2385","2298","2263","2424","2154","2258","2162","2092","2205","2078","2073","2039","2066","2124","",
"Azerbaijan","AZE","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221","165","","","","","203","234","246","270","281","246","287","226","264","254","193","144","156","168","184","144","204","155","147","90","",
"Burundi","BDI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","3","2","","2","",
"Belgium","BEL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","865","806","914","805","869","771","794","548","636","681","643","625","675","809","744","732","776","792","690","591","577","571","601","519","514","517","490","454","575","669","620","636","755","715","889","949","1054","1001","892","876","862","",
"Benin","BEN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","2","","","1","2","1","","","","","2","","","","","","","","","","","",
"Bangladesh","BGD","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","34","39","40","40","62","40","16","23","24","32","32","36","72","36","39","70","22","46","32","49","70","59","43","58","48","50","22","29","60","55","66","37","67","60","44","41","77","61","69","68","40","",
"Bulgaria","BGR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","3297","3673","3628","3811","3843","2","1","3","6","63","198","422","329","412","319","368","316","394","274","282","231","283","289","278","263","261","243","211","249","242","243","262","245","282","218","280","230","202","180","186","239","",
"Bahrain","BHR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","3","6","8","6","8","11","4","7","",
"Bahamas, The","BHS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","2","3","","3","3","1","","4","","2","1","2","","","","","","","","","","","","","","","","","","","","3","1","1","2","3","4","","","","",
"Bosnia and Herzegovina","BIH","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","31","52","","32","50","66","55","","59","","56","43","2","7","41","","60","87","84","45","50","",
"Belarus","BLR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","828","683","624","698","752","910","993","994","930","895","1082","1065","1166","1188","1405","1510","1753","1759","1725","1681","1489","652","543","455","434","453","298","317","",
"Belize","BLZ","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",
"Bermuda","BMU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","8","12","18","11","4","5","","","","","","","","26","28","17","","","","","","","","","","","","","","","","","","","9","","12","59","","","","",
"Brazil","BRA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","2149","2171","2116","2302","2062","1954","1855","2451","2338","2323","2389","2319","2100","2429","2269","2707","2611","2756","2491","2816","3179","3439","3481","3866","4044","4054","3956","4194","4280","4271","4228","4695","4798","4959","4659","4641","5200","5480","4980","5464","5280","",
"Barbados","BRB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","2","","","","3","1","","","","","3","1","","","","","","29","",
"Brunei Darussalam","BRN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","26","","16","8","26","8","5","",
"Bhutan","BTN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","","1","4","","1","1","","",
"Botswana","BWA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","8","4","3","1","3","","2","2","",
"Central African Republic","CAF","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1648","2164","2000","2017","2026","2092","2161","2527","2772","3031","2549","2182","2807","3623","2480","2431","2583","3344","3809","4061","4187","3963","3959","3929","5231","5183","5522","4998","5061","5067","4550","4754","4709","4567","4198","4277","4078","4053","4349","4238","4452","",
"Central Europe and the Baltics","CEB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","4049","3712","3845","3817","3393","3191","3199","3298","3236","3247","2987","2949","3068","2999","3033","2890","2504","2408","2025","1916","2083","1859","1827","1831","1742","1643","1740","1692","1594","1684","1622","1597","1480","1525","1480","1477","1462","1337","1283","1369","1384","",
"Channel Islands","CHI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","140","92","96","96","105","122","96","108","111","135","169","151","178","155","219","171","176","161","207","204","241","246","391","329","382","361","291","403","531","343","328","339","336","340","452","443","386","425","406","438","372","",
"China","CHN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","4065","3494","3975","4780","4749","5832","7372","10022","12084","11191","10011","11628","12672","13751","15626","25346","30038","39806","56769","65786","93485","122318","153060","194579","229096","293066","415829","535313","704936","801135","968252","1204981","1245709","1393815","1243568","1344817","",
"Cote d'Ivoire","CIV","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","","","","","","","","",
"Cameroon","CMR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","42","72","",
"Congo, Rep.","COG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","43","39","","82","69","72","81","52","85","90","","85","120","138","124","141","87","80","161","68","75","65","54","82","76","99","142","128","126","128","133","183","213","251","260","321","545","595","415","422","369","",
"Comoros","COM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","","1","",
"Costa Rica","CRI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","30","41","39","16","24","16","11","10","10","13","15","63","18","27","32","25","23","25","22","31","28","21","23","33","26","17","22","20","24","16","8","13","9","18","15","17","9","19","8","16","12","",
"Caribbean small states","CSS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","129","122","183","166","214","","","","","","","","1","1","121","104","83","109","","110","","","","","","105","94","74","69","59","","62","38","27","24","","32","29","29","27","33","",
"Curacao","CUW","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1","","","2","2","","","","","","","","","","","","","","","","","","","12","9","20","","3","11","6","4","","4","2","4","6","3","8","4","4","2","",
"Czechia","CZE","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","893","756","626","614","579","624","596","555","568","526","625","623","586","641","716","712","789","868","783","867","984","910","880","792","794","678","765","673","",
"Germany","DEU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","28683","29841","30668","31658","31984","32202","32169","31597","31912","31171","30724","32256","33919","34752","36715","38103","42322","44438","46523","50029","51736","49989","47598","47818","48448","48367","48012","47853","49240","47859","47047","46986","46620","47353","48154","47384","48480","47785","46617","46632","42260","",
"Djibouti","DJI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","",
"Dominica","DMA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","964","1085","1095","1167","966","856","958","1007","1197","1120","1218","1061","1204","1159","1274","1234","1309","1319","1543","1656","1730","1757","1815","1772","1877","1658","1503","1660","1634","1518","1626","1574","1406","1341","1377","1462","1552","1490","1262","1351","1261","",
"Dominican Republic","DOM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","25","","","14","","","","","","","","","","","","","","5","11","11","18","24","8","15","34","8","17","15","15","19","12","16","25","28","20","17","23","10","",
"Algeria","DZA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","5","14","14","30","30","","","","5","4","6","6","10","8","27","28","50","34","42","36","32","51","43","30","58","59","58","84","","","76","94","119","118","94","89","106","149","152","113","163","",
"East Asia & Pacific (excluding high income)","EAP","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","174842","8816","9335","237536","266660","282371","298506","321054","320456","330514","349337","357989","365512","367734","361691","407756","424249","435329","428311","436757","490611","496382","492283","512027","546382","596811","609378","629917","659377","667812","731535","857546","986823","1146947","1240339","1403980","1638504","1684097","1828229","1679298","1769228","",
"Europe & Central Asia (excluding high income)","ECA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","99430","93973","95118","97368","97815","98000","96472","97601","100976","96217","90542","112316","161722","166245","153787","142426","163870","161961","171753","191401","204843","200690","190235","196039","199480","200131","205797","219661","224231","217062","227012","222070","223012","225391","221770","218330","224785","222576","223725","221382","215964","",
"Ecuador","ECU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","35","14","22","24","24","","27","21","24","26","","13","23","21","4","8","7","8","","15","10","7","13","7","14","11","8","4","2","6","4","","","7","24","20","45","16","34","29","33","",
"Egypt, Arab Rep.","EGY","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","76","59","53","88","128","168","142","170","190","186","278","308","301","328","308","408","504","","494","536","534","464","627","493","382","428","","516","481","490","605","618","683","641","752","718","920","1025","997","1027","978","",
"Euro area","EMU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1876","1718","1646","1498","1784","2149","1649","1720","1816","2087","2218","2156","2076","2165","2136","2047","2274","2237","2271","2439","2710","2528","2763","2813","2871","3040","3111","3267","3632","3596","3566","3430","3266","3026","2953","2799","2745","2167","1525","1288","1431","",
"Estonia","EST","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","12","15","20","13","13","18","19","18","27","23","36","44","62","76","84","62","20","25","44","30","29","37","24","31","21","",
"Ethiopia","ETH","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","3","","1","3","1","1","5","12","","","","4","","1","2","18","10","14","13","","6","",
"European Union","EUU","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1356","1423","1638","1719","1775","1727","1754","1859","1981","1948","2059","2123","2052","2166","2306","2058","2179","2355","2471","2511","2579","2390","2162","1972","2011","1830","1816","1804","1799","1806","1731","1650","1698","1596","1419","1289","1260","1390","1387","1321","1588","",
"Fiji","FJI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","11000","10945","10681","11147","11333","12050","12155","12695","12437","12592","12378","12597","12539","12638","12519","12419","12916","13252","13251","13592","13870","13499","13519","13511","14230","14327","14529","14722","14658","14100","14748","14655","14540","14690","14500","14306","14206","14415","14303","14103","12771","",
"Faroe Islands","FRO","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","19612","20808","20530","19893","19093","19672","20040","19945","20536","19732","19310","19230","18848","18727","18384","18630","18184","17938","19530","21333","22050","21423","20624","20426","19178","17833","17484","17375","16523","15985","15490","15343","15370","14972","15196","14867","13876","13301","12865","12061","11990","",
"Georgia","GEO","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365","502","386","287","288","263","277","265","232","254","194","195","249","225","236","248","222","256","183","138","139","114","110","99","96","75","103","85","81","",
"Ghana","GHA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","15","13","","12","",
"Gibraltar","GIB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1265","1221","1264","1191","1277","1121","1249","1539","205","216","241","188","222","221","267","266","267","293","276","290","306","385","376","393","379","462","532","575","628","698","728","721","628","698","651","550","606","498","430","356","400","",
"Grenada","GRD","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",
"Greenland","GRL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","17","","","72","25","8","16","5","27","31","27","40","21","32","22","36","26","28","54","30","8","6","9","17","28","9","5","7","7","4","7","4","10","7","3","3","6","7","7","",
"Guam","GUM","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","1","","1","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","2","","","",
"High income","HIC","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","690700","706700","735400","804200","816900","805800","821000","851300","886700","886500","898400","888200","841600","861700","868300","899800","916300","912900","912900","917400","911300","900300","900200","870300","",
"Hong Kong SAR, China","HKG","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","21","20","16","10","13","12","15","21","16","11","9","21","23","41","26","128","42","51","74","112","107","127","156","172","160","173","149","133","181","171","226","192","239","233","324","314","346","423","",
"Honduras","HND","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","6","","63","16","4","12","","12","","","6","","","","","7","10","","11","8","4","7","7","","","","","","","","","2","8","6","","4","10","4","8","","","",
"Heavily indebted poor countries (HIPC)","HPC","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","479","503","277","265","259","273","267","246","337","362","328","387","385","363","317","344","330","250","257","230","217","230","170","169","175","148","121","195","117","",
"Haiti","HTI","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","4","","2","1","2","6","4","9","1","","","3","","","","","3","","","1","","","","","","","","","","","","1","2","","2","","","","","","","",
"Hungary","HUN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1601","2124","2344","2760","2869","2904","2847","3229","3262","2657","2477","2210","1497","1139","1162","1096","803","737","690","729","810","919","842","756","748","705","718","689","683","757","649","662","692","642","546","569","616","496","407","427","428","",
"IBRD only","IBD","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","5","","16","40","26","49","32","62","","113","","34","67","38","29","61","40","79","93","152","157","212","234","201","227","235","288","284","386","415","508","533","","663","702","1058","1101","2271","1407","3093","1309","",
"IDA only","IDX","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","1207","1067","1128","","1003","982","999","988","1033","1048","1147","1267","1248","1209","1588","1545","1661","1926","2247","2206","2206","2379","2693","3425","4014","4721","5686","6296","6425","7262","8853","8841","9553","10669","12040","12579","13199","14961","16289","19454","23141","",
"Not classified","INX","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","394","461","434","567","651","726","743","719","727","736","734","786","","","","","","","","","","","","","","","","","","","","","","","","","79","62","76","58","75","",
"Iran, Islamic Rep.","IRN","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","169","286","202","213","162","183","","207","167","141","182","262","225","278","266","278","288","284","337","366","410","691","910","1287","2426","4051","5970","10648","15403","12184","11108","11529","10622","11305","13683","","14930","15264","11908","11569","11396","",
"Iraq","IRQ","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","19","26","47","33","124","296","199","272","272","247","","","149","164","112","76","68","","","","","","","","","","","","","","","","","","","335","","613","653","737","635","",
"Iceland","ISL","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","19","14","18","32","28","21","29","28","16","18","17","34","28","34","22","19","16","22","41","35","51","49","71","57","66","47","45","61","50","64","57","50","37","33","51","40","35","36","56","47","44","",
